station,catchment,district,lat,lon
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
FATEHGARH,600,JAISALMER,"260 30"" N","710 11"" E"
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
FATEHGARH,600,JAISALMER,"260 30"" N","710 11"" E"
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
FATEHGARH,600,JAISALMER,"260 30"" N","710 11"" E"
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
FATEHGARH,600,JAISALMER,"260 30"" N","710 11"" E"
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
FATEHGARH,600,JAISALMER,"260 30"" N","710 11"" E"
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
FATEHGARH,600,JAISALMER,"260 30"" N","710 11"" E"
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
FATEHGARH,600,JAISALMER,"260 30"" N","710 11"" E"
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
FATEHGARH,600,JAISALMER,"260 30"" N","710 11"" E"
JAISALMER,600,JAISALMER,"260 55"" N","700 55"" E"
POKARAN,600,JAISALMER,"260 56"" N","710 55"" E"
RAMGARH,600,JAISALMER,"270 22"" N","700 30"" E"
SAM,600,JAISALMER,"260 50"" N","700 30"" E"
NOKH,600,JAISALMER,"270 34"" N","720 16"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
HINDAUN,406,DAUSA,"260 43"" N","770 01"" E"
TODABHIM,406,DAUSA,"260 55"" N","760 49"" E"
MAHUWA,406,DAUSA,"270 03"" N","760 55"" E"
KARAULI,406,DAUSA,"260 30"" N","760 01"" E"
SAPOTARA,406,DAUSA,"260 17"" N","760 45"" E"
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
NADOTI,406,DAUSA,"260 43"" N","760 44"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
JUGGARBUND *,406,DAUSA,"270 03"" N","760 55"" E"
MANSAROWAR *,406,Sawaimadhopur,"250 56"" N","760 27"" E"
MORANSAGAR *,406,Sawaimadhopur,"260 41"" N","760 33"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
DUBBI-BANAS *,406,DAUSA,"270 03"" N","760 55"" E"
KALISIL *,406,DAUSA,"270 03"" N","760 55"" E"
MORAL BUND *,406,DAUSA,"270 03"" N","760 55"" E"
KELA DEVI *,406,DAUSA,"270 03"" N","760 55"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
HINDAUN,406,DAUSA,"260 43"" N","770 01"" E"
TODABHIM,406,DAUSA,"260 55"" N","760 49"" E"
MAHUWA,406,DAUSA,"270 03"" N","760 55"" E"
KARAULI,406,DAUSA,"260 30"" N","760 01"" E"
SAPOTARA,406,DAUSA,"260 17"" N","760 45"" E"
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
NADOTI,406,DAUSA,"260 43"" N","760 44"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
JUGGARBUND *,406,DAUSA,"270 03"" N","760 55"" E"
MANSAROWAR *,406,DAUSA,"250 56"" N","760 27"" E"
MORANSAGAR *,406,DAUSA,"260 41"" N","760 33"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
DUBBI-BANAS *,406,DAUSA,"270 03"" N","760 55"" E"
KALISIL *,406,DAUSA,"270 03"" N","760 55"" E"
MORAL BUND *,406,DAUSA,"270 03"" N","760 55"" E"
KELA DEVI *,406,DAUSA,"270 03"" N","760 55"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
HINDAUN,406,DAUSA,"260 43"" N","770 01"" E"
TODABHIM,406,DAUSA,"260 55"" N","760 49"" E"
MAHUWA,406,DAUSA,"270 03"" N","760 55"" E"
KARAULI,406,DAUSA,"260 30"" N","760 01"" E"
SAPOTARA,406,DAUSA,"260 17"" N","760 45"" E"
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
NADOTI,406,DAUSA,"260 43"" N","760 44"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
JUGGARBUND *,406,DAUSA,"270 03"" N","760 55"" E"
MANSAROWAR *,406,DAUSA,"250 56"" N","760 27"" E"
MORANSAGAR *,406,DAUSA,"260 41"" N","760 33"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
DUBBI-BANAS *,406,DAUSA,"270 03"" N","760 55"" E"
KALISIL *,406,DAUSA,"270 03"" N","760 55"" E"
MORAL BUND *,406,DAUSA,"270 03"" N","760 55"" E"
KELA DEVI *,406,DAUSA,"270 03"" N","760 55"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
HINDAUN,406,Sawaimadhopur,"260 43"" N","770 01"" E"
TODABHIM,406,Sawaimadhopur,"260 55"" N","760 49"" E"
MAHUWA,406,Sawaimadhopur,"260 20"" N","760 55"" E"
KARAULI,406,Sawaimadhopur,"260 30"" N","760 01"" E"
SAPOTARA,406,Sawaimadhopur,"260 17"" N","760 45"" E"
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
NADOTI,406,Sawaimadhopur,"260 43"" N","760 44"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
JUGGARBUND *,406,Sawaimadhopur,"260 20"" N","760 55"" E"
MANSAROWAR *,406,Sawaimadhopur,"260 20"" N","760 27"" E"
MORANSAGAR *,406,Sawaimadhopur,"260 41"" N","760 33"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
DUBBI-BANAS *,406,Sawaimadhopur,"260 12"" N","760 55"" E"
KALISIL *,406,Sawaimadhopur,"260 12"" N","760 55"" E"
MORAL BUND *,406,Sawaimadhopur,"260 12"" N","760 55"" E"
KELA DEVI *,406,Sawaimadhopur,"260 20"" N","760 55"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
HINDAUN,406,DAUSA,"260 43"" N","770 01"" E"
TODABHIM,406,DAUSA,"260 55"" N","760 49"" E"
MAHUWA,406,DAUSA,"270 03"" N","760 55"" E"
KARAULI,406,Sawaimadhopur,"260 30"" N","760 01"" E"
SAPOTARA,406,DAUSA,"260 17"" N","760 45"" E"
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
NADOTI,406,DAUSA,"260 43"" N","760 44"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
JUGGARBUND *,406,DAUSA,"270 03"" N","760 55"" E"
MANSAROWAR *,406,DAUSA,"250 56"" N","760 27"" E"
MORANSAGAR *,406,DAUSA,"260 41"" N","760 33"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
DUBBI-BANAS *,406,DAUSA,"270 03"" N","760 55"" E"
KALISIL *,406,DAUSA,"270 03"" N","760 55"" E"
MORAL BUND *,406,DAUSA,"270 03"" N","760 55"" E"
KELA DEVI *,406,DAUSA,"270 03"" N","760 55"" E"
SAWAIMADHOPUR,406,Sawaimadhopur,"260 30"" N","760 35"" E"
KHANDAR,406,Sawaimadhopur,"260 20"" N","760 14"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
HINDAUN,406,Sawaimadhopur,"260 01"" N","760 37"" E"
TODABHIM,405,Sawaimadhopur,"250 59"" N","760 22"" E"
MAHUWA,405,Sawaimadhopur,"260 12"" N","760 08"" E"
KARAULI,406,Sawaimadhopur,,
SAPOTRA,406,Sawaimadhopur,"250 56"" N","760 27"" E"
BAMANWAS,406,Sawaimadhopur,"260 41"" N","760 33"" E"
NADOTI,406,Sawaimadhopur,,
BONLI,406,Sawaimadhopur,,
JUGGAR BUND*,406,Sawaimadhopur,"250 53"" N","760 12"" E"
MANSAROWAR*,406,Sawaimadhopur,"260 30"" N","760 01"" E"
MORAN SAGAR*,406,Sawaimadhopur,"260 43"" N","770 01"" E"
DHILBUND*,406,Sawaimadhopur,"260 17"" N","760 45"" E"
DUBBI BANAS*,406,Sawaimadhopur,"260 55"" N","760 49"" E"
KALISIL*,406,Sawaimadhopur,"260 43"" N","760 44"" E"
MORAL BUND*,406,Sawaimadhopur,,
KELA DEVI*,406,DAUSA,"270 03"" N","760 55"" E"
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
DUBBI BANAS*,406,Sawaimadhopur,,
MANSAROWAR *,406,Sawaimadhopur,"250 56"" N","760 27"" E"
MORA C352SAGAR *,406,Sawaimadhopur,"260 41"" N","760 33"" E"
JUGGAR BUND*,406,Sawaimadhopur,,
S. MADHOPUR (IMD),406,Sawaimadhopur,,
KALISIL*,406,Sawaimadhopur,,
KAROLI,406,Sawaimadhopur,"260 30"" N","760 01"" E"
HINDON,406,Sawaimadhopur,"260 43"" N","770 01"" E"
SAPOTARA,406,Sawaimadhopur,"260 17"" N","760 45"" E"
TODABHIM,406,Sawaimadhopur,"260 55"" N","760 49"" E"
NADOTI,406,Sawaimadhopur,"260 43"" N","760 44"" E"
MOREL*,406,Sawaimadhopur,,
MAHUWA,406,DAUSA,"270 03"" N","760 55"" E"
KELA DEVI*,406,DAUSA,,
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
SAWAI MADHOPUR(IMD),405,Sawaimadhopur,"250 59"" N","760 22"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
DUBBIBANAS*,406,Sawaimadhopur,,
MANSAROWAR *,406,Sawaimadhopur,"250 56"" N","760 27"" E"
MORANSAGAR *,406,Sawaimadhopur,"260 41"" N","760 33"" E"
MORAL DAM*,406,Sawaimadhopur,,
SHRI MAHAVEERJI*,406,Sawaimadhopur,,
KELADEVI*,406,Sawaimadhopur,"250 53"" N","760 12"" E"
KAROLI,406,Sawaimadhopur,"260 30"" N","760 01"" E"
HINDON,406,Sawaimadhopur,"260 43"" N","770 01"" E"
SAPOTARA,406,Sawaimadhopur,"260 17"" N","760 45"" E"
TODABHIM,406,Sawaimadhopur,"260 55"" N","760 49"" E"
NADOTI,406,Sawaimadhopur,"260 43"" N","760 44"" E"
MAHUWA,406,Sawaimadhopur,"270 03"" N","760 55"" E"
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
SAWAI MADHOPUR (A),406,Sawaimadhopur,,
MANSAROWAR *,406,Sawaimadhopur,"250 56"" N","760 27"" E"
MORANSAGAR *,406,Sawaimadhopur,"260 41"" N","760 33"" E"
DUBBIBANAS*,406,Sawaimadhopur,,
MOREL BUNDH*,406,Sawaimadhopur,,
SHRI MAHAVEERJI*,406,Sawaimadhopur,"250 53"" N","760 12"" E"
KAROLI,406,Sawaimadhopur,"260 30"" N","760 01"" E"
HINDON,406,Sawaimadhopur,"260 43"" N","770 01"" E"
SAPOTARA,406,Sawaimadhopur,"260 17"" N","760 45"" E"
TODABHIM,406,Sawaimadhopur,"260 55"" N","760 49"" E"
NADOTI,406,Sawaimadhopur,"260 43"" N","760 44"" E"
KELADEVI*,406,Sawaimadhopur,,
MAHUWA,406,DAUSA,"270 03"" N","760 55"" E"
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
DHILBUNDH *,405,Sawaimadhopur,"260 12"" N","760 08"" E"
SAWAI MADHOPUR(IMD),406,Sawaimadhopur,,
MANSAROWAR *,406,Sawaimadhopur,"250 56"" N","760 27"" E"
MORANSAGAR *,406,Sawaimadhopur,"260 41"" N","760 33"" E"
JUGGAR DAM*,406,Sawaimadhopur,,
KELA DEVI*,406,Sawaimadhopur,,
SHRI MAHAVEERJI*,406,Sawaimadhopur,"250 53"" N","760 12"" E"
KAROLI,406,Sawaimadhopur,"260 30"" N","760 01"" E"
HINDON,406,Sawaimadhopur,"260 43"" N","770 01"" E"
SAPOTARA,406,Sawaimadhopur,"260 17"" N","760 45"" E"
TODABHIM,406,Sawaimadhopur,"260 55"" N","760 49"" E"
NADOTI,406,Sawaimadhopur,"260 43"" N","760 44"" E"
MAHUWA,406,DAUSA,"270 03"" N","760 55"" E"
MOREL BUNDH*,406,DAUSA,,
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
GANGAPUR CITY,406,Sawaimadhopur,"260 29"" N","760 44"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
SAWAI MADHOPUR (IMD),405,Sawaimadhopur,"250 59"" N","760 22"" E"
MAHUWA,406,Sawaimadhopur,"270 03"" N","760 55"" E"
KAROLI,406,Sawaimadhopur,"260 30"" N","760 01"" E"
HINDON,406,Sawaimadhopur,"260 43"" N","770 01"" E"
SAPOTARA,406,Sawaimadhopur,"260 17"" N","760 45"" E"
TODABHIM,406,Sawaimadhopur,"260 55"" N","760 49"" E"
NADOTI,406,Sawaimadhopur,"260 43"" N","760 44"" E"
SAWAI MADHOPUR,405,Sawai Madhopur,2559,7622
KHANDAR,406,Sawai Madhopur,2601,7637
GANGAPUR,406,Sawai Madhopur,2629,7644
HINDAUN,403,Sawai Madhopur,2643,7701
TODABHIM,403,Sawai Madhopur,2655,7649
MAHWA,403,Sawai Madhopur,2703,7656
KARAULI,403,Sawai Madhopur,2630,7701
SAPOTRA,406,Sawai Madhopur,2617,7645
BAMANWAS,406,Sawai Madhopur,2630,7635
NADOTI,,Sawai Madhopur,,
BONLI,406,Sawai Madhopur,2620,7614
SAWAI MADHOPUR (A),405,Sawai Madhopur,2559,7622
SILT LAB. SHRI MAHAVIRJI,,Sawai Madhopur,,
SHRI MAHAVIRJI (IRRIG.),,Sawai Madhopur,,
SAWAI MADHOPUR,405,Sawai Madhopur,2559,7622
KHANDAR,406,Sawai Madhopur,2601,7637
GANGAPUR,406,Sawai Madhopur,2629,7644
HINDAUN,403,Sawai Madhopur,2643,7701
TODABHIM,403,Sawai Madhopur,2655,7649
MAHWA,403,Sawai Madhopur,2703,7656
KARAULI,403,Sawai Madhopur,2630,7701
SAPOTRA,406,Sawai Madhopur,2617,7645
BAMANWAS,406,Sawai Madhopur,2630,7635
NADOTI,,Sawai Madhopur,,
BONLI,406,Sawai Madhopur,2620,7614
SAWAI MADHOPUR (A),405,Sawai Madhopur,2559,7622
SILT LAB. SHRI MAHAVIRJI,,Sawai Madhopur,,
BAMANWAS,406,Sawaimadhopur,"260 30"" N","760 35"" E"
BONLI,406,Sawaimadhopur,"260 20"" N","760 14"" E"
GANGAPUR,406,Sawaimadhopur,"260 29"" N","760 44"" E"
HINDAUN,403,Sawaimadhopur,"260 43"" N","770 01"" E"
KARAULI,403,Sawaimadhopur,"260 30"" N","770 01"" E"
KHANDAR,406,Sawaimadhopur,"260 01"" N","760 37"" E"
MAHUWA,403,Sawaimadhopur,"270 03"" N","760 56"" E"
NADOTI,403,Sawaimadhopur,"260 40"" N","760 50"" E"
SAPOTRA,406,Sawaimadhopur,"260 17"" N","760 45"" E"
SAWAI MADHOPUR,405,Sawaimadhopur,"250 59"" N","760 22"" E"
TODABHIM,403,Sawaimadhopur,"260 55"" N","760 49"" E"
